card_id	field	source	source_date	notes
item.adamant_crossbow_u.9463	quest	https://raw.githubusercontent.com/osrsbox/osrsbox-db/master/docs/items-json/9463.json	2026-08-01	quest_item=false; source record last updated 2021-08-05
npc.a_corpse.15165	aggression	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15200722	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.a_corpse.15165	attack_speed	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15200722	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.a_corpse.15165	attack_styles	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15200722	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.a_corpse.15165	hitpoints	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15200722	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.a_corpse.15165	max_hit	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15200722	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.a_doubt.3477	aggression	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15199544	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.a_doubt.3477	attack_speed	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15199544	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.a_doubt.3477	attack_styles	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15199544	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.a_doubt.3477	hitpoints	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15199544	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.a_doubt.3477	max_hit	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15199544	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.aberrant_spectre.2	attack_speed	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15283125	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.abhorrent_spectre.7402	aggression	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15283126	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.abhorrent_spectre.7402	attack_speed	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15283126	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.abhorrent_spectre.7402	attack_styles	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15283126	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.abhorrent_spectre.7402	hitpoints	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15283126	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.abhorrent_spectre.7402	max_hit	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15283126	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.abhorrent_spectre.7402	slayer_requirement	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15283126	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.abomination.8262	aggression	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15206300	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.abomination.8262	attack_speed	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15206300	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.abomination.8262	attack_styles	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15206300	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.abomination.8262	hitpoints	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15206300	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.abomination.8262	max_hit	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15206300	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.abyssal_antibody.12372	aggression	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15200383	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.abyssal_antibody.12372	attack_speed	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15200383	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.abyssal_antibody.12372	attack_styles	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15200383	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.abyssal_antibody.12372	hitpoints	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15200383	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.abyssal_antibody.12372	max_hit	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15200383	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
npc.abyssal_demon.415	attack_speed	https://oldschool.runescape.wiki/w/Special:Redirect/revision/15283161	2026-08-06	OSRS Wiki Infobox Monster; fill-only sync
