legacy_card_id	canonical_card_id	introduced_version	reason
item.1_2_anchovy_pizza.2299	item.anchovy_pizza.2297	13	DEEP_AUDIT_EQUIVALENT_STATE
item.1_2_meat_pizza.2295	item.meat_pizza.2293	13	DEEP_AUDIT_EQUIVALENT_STATE
item.1_2_pineapple_pizza.2303	item.pineapple_pizza.2301	13	DEEP_AUDIT_EQUIVALENT_STATE
item.1_2_plain_pizza.2291	item.plain_pizza.2289	13	DEEP_AUDIT_EQUIVALENT_STATE
item.2_3_cake.1893	item.cake.1891	13	DEEP_AUDIT_EQUIVALENT_STATE
item.2_3_chocolate_cake.1899	item.chocolate_cake.1897	13	DEEP_AUDIT_EQUIVALENT_STATE
item.abyssal_bracelet_1.11103	item.abyssal_bracelet_5.11095	10	HIGH_CONFIDENCE_STATE_FAMILY
item.abyssal_bracelet_2.11101	item.abyssal_bracelet_5.11095	10	HIGH_CONFIDENCE_STATE_FAMILY
item.abyssal_bracelet_3.11099	item.abyssal_bracelet_5.11095	10	HIGH_CONFIDENCE_STATE_FAMILY
item.abyssal_bracelet_4.11097	item.abyssal_bracelet_5.11095	10	HIGH_CONFIDENCE_STATE_FAMILY
item.abyssal_lantern_blisterwood_logs.26844	item.abyssal_lantern.26822	13	DEEP_AUDIT_REVERSIBLE_STYLE
item.abyssal_lantern_blue_logs.26826	item.abyssal_lantern.26822	13	DEEP_AUDIT_REVERSIBLE_STYLE
item.abyssal_lantern_green_logs.26834	item.abyssal_lantern.26822	13	DEEP_AUDIT_REVERSIBLE_STYLE
item.abyssal_lantern_magic_logs.26846	item.abyssal_lantern.26822	13	DEEP_AUDIT_REVERSIBLE_STYLE
item.abyssal_lantern_maple_logs.26840	item.abyssal_lantern.26822	13	DEEP_AUDIT_REVERSIBLE_STYLE
item.abyssal_lantern_normal_logs.26824	item.abyssal_lantern.26822	13	DEEP_AUDIT_REVERSIBLE_STYLE
