api_class	constant_name	expected_id	catalogue_entity
net.runelite.api.ItemID	STEEL_CANNONBALL	2	cache-item-family.steel_cannonball.2
net.runelite.api.ItemID	AMMO_MOULD	4	cache-item-family.ammo_mould.4
net.runelite.api.ItemID	CANNON_BASE	6	cache-item-family.cannon_base.6
net.runelite.api.ItemID	CANNON_STAND	8	cache-item-family.cannon_stand.8
net.runelite.api.ItemID	CANNON_BARRELS	10	cache-item-family.cannon_barrels.10
net.runelite.api.ItemID	CANNON_FURNACE	12	cache-item-family.cannon_furnace.12
net.runelite.api.ItemID	MAGIC_WHISTLE	16	cache-item-family.magic_whistle.16
net.runelite.api.ItemID	GRAIL_BELL	17	cache-item-family.grail_bell.17
net.runelite.api.ItemID	MAGIC_GOLD_FEATHER	18	cache-item-family.magic_gold_feather.18
net.runelite.api.ItemID	INSECT_REPELLENT	28	cache-item-family.insect_repellent.28
net.runelite.api.ItemID	BUCKET_OF_WAX	30	cache-item-family.bucket_of_wax.30
net.runelite.api.ItemID	LIT_BLACK_CANDLE	32	cache-item-family.lit_black_candle.32
net.runelite.api.ItemID	LIT_CANDLE	33	cache-item-family.lit_candle.33
net.runelite.api.ItemID	EXCALIBUR	35	cache-item-family.excalibur.35
net.runelite.api.ItemID	CANDLE	36	cache-item-family.candle.36
net.runelite.api.ItemID	BRONZE_ARROWTIPS	39	cache-item-family.bronze_arrowtips.39
net.runelite.api.ItemID	IRON_ARROWTIPS	40	cache-item-family.iron_arrowtips.40
net.runelite.api.ItemID	STEEL_ARROWTIPS	41	cache-item-family.steel_arrowtips.41
net.runelite.api.ItemID	MITHRIL_ARROWTIPS	42	cache-item-family.mithril_arrowtips.42
net.runelite.api.ItemID	ADAMANT_ARROWTIPS	43	cache-item-family.adamant_arrowtips.43
net.runelite.api.ItemID	RUNE_ARROWTIPS	44	cache-item-family.rune_arrowtips.44
net.runelite.api.ItemID	OPAL_BOLT_TIPS	45	cache-item-family.opal_bolt_tips.45
net.runelite.api.ItemID	PEARL_BOLT_TIPS	46	cache-item-family.pearl_bolt_tips.46
net.runelite.api.ItemID	BARB_BOLTTIPS	47	cache-item-family.barb_bolttips.47
net.runelite.api.ItemID	LONGBOW_U	48	cache-item-family.longbow_u.48
net.runelite.api.ItemID	SHORTBOW_U	50	cache-item-family.shortbow_u.50
net.runelite.api.ItemID	ARROW_SHAFT	52	cache-item-family.arrow_shaft.52
net.runelite.api.ItemID	HEADLESS_ARROW	53	cache-item-family.headless_arrow.53
net.runelite.api.ItemID	OAK_SHORTBOW_U	54	cache-item-family.oak_shortbow_u.54
net.runelite.api.ItemID	OAK_LONGBOW_U	56	cache-item-family.oak_longbow_u.56
net.runelite.api.ItemID	WILLOW_LONGBOW_U	58	cache-item-family.willow_longbow_u.58
net.runelite.api.ItemID	WILLOW_SHORTBOW_U	60	cache-item-family.willow_shortbow_u.60
net.runelite.api.ItemID	MAPLE_LONGBOW_U	62	cache-item-family.maple_longbow_u.62
net.runelite.api.ItemID	MAPLE_SHORTBOW_U	64	cache-item-family.maple_shortbow_u.64
net.runelite.api.ItemID	YEW_LONGBOW_U	66	cache-item-family.yew_longbow_u.66
net.runelite.api.ItemID	YEW_SHORTBOW_U	68	cache-item-family.yew_shortbow_u.68
net.runelite.api.ItemID	MAGIC_LONGBOW_U	70	cache-item-family.magic_longbow_u.70
net.runelite.api.ItemID	MAGIC_SHORTBOW_U	72	cache-item-family.magic_shortbow_u.72
net.runelite.api.ItemID	KHAZARD_HELMET	74	cache-item-family.khazard_helmet.74
net.runelite.api.ItemID	KHAZARD_ARMOUR	75	cache-item-family.khazard_armour.75
net.runelite.api.ItemID	ICE_ARROWS	78	cache-item-family.ice_arrows.78
net.runelite.api.ItemID	PENDANT_OF_LUCIEN	86	cache-item-family.pendant_of_lucien.86
net.runelite.api.ItemID	ARMADYL_PENDANT	87	cache-item-family.armadyl_pendant.87
net.runelite.api.ItemID	BOOTS_OF_LIGHTNESS	88	cache-item-family.boots_of_lightness.88
net.runelite.api.ItemID	GUAM_POTION_UNF	91	cache-item-family.guam_potion_unf.91
net.runelite.api.ItemID	MARRENTILL_POTION_UNF	93	cache-item-family.marrentill_potion_unf.93
net.runelite.api.ItemID	TARROMIN_POTION_UNF	95	cache-item-family.tarromin_potion_unf.95
net.runelite.api.ItemID	HARRALANDER_POTION_UNF	97	cache-item-family.harralander_potion_unf.97
net.runelite.api.ItemID	RANARR_POTION_UNF	99	cache-item-family.ranarr_potion_unf.99
net.runelite.api.ItemID	IRIT_POTION_UNF	101	cache-item-family.irit_potion_unf.101
net.runelite.api.ItemID	AVANTOE_POTION_UNF	103	cache-item-family.avantoe_potion_unf.103
net.runelite.api.ItemID	KWUARM_POTION_UNF	105	cache-item-family.kwuarm_potion_unf.105
net.runelite.api.ItemID	CADANTINE_POTION_UNF	107	cache-item-family.cadantine_potion_unf.107
net.runelite.api.ItemID	DWARF_WEED_POTION_UNF	109	cache-item-family.dwarf_weed_potion_unf.109
net.runelite.api.ItemID	TORSTOL_POTION_UNF	111	cache-item-family.torstol_potion_unf.111
net.runelite.api.ItemID	STRENGTH_POTION1	119	cache-item-family.strength_potion.119
net.runelite.api.ItemID	ATTACK_POTION1	125	cache-item-family.attack_potion.125
net.runelite.api.ItemID	RESTORE_POTION1	131	cache-item-family.restore_potion.131
net.runelite.api.ItemID	DEFENCE_POTION1	137	cache-item-family.defence_potion.137
net.runelite.api.ItemID	PRAYER_POTION1	143	cache-item-family.prayer_potion.143
net.runelite.api.ItemID	SUPER_ATTACK3	145	cache-item-family.super_attack_4.2436
net.runelite.api.ItemID	SUPER_ATTACK2	147	cache-item-family.super_attack_4.2436
net.runelite.api.ItemID	SUPER_ATTACK1	149	cache-item-family.super_attack_4.2436
net.runelite.api.ItemID	FISHING_POTION1	155	cache-item-family.fishing_potion.155
net.runelite.api.ItemID	SUPER_STRENGTH3	157	cache-item-family.super_strength_4.2440
net.runelite.api.ItemID	SUPER_STRENGTH2	159	cache-item-family.super_strength_4.2440
net.runelite.api.ItemID	SUPER_STRENGTH1	161	cache-item-family.super_strength_4.2440
net.runelite.api.ItemID	SUPER_DEFENCE3	163	cache-item-family.super_defence_4.2442
net.runelite.api.ItemID	SUPER_DEFENCE2	165	cache-item-family.super_defence_4.2442
net.runelite.api.ItemID	SUPER_DEFENCE1	167	cache-item-family.super_defence_4.2442
net.runelite.api.ItemID	RANGING_POTION1	173	cache-item-family.ranging_potion.173
net.runelite.api.ItemID	ANTIPOISON1	179	cache-item-family.antipoison.179
net.runelite.api.ItemID	SUPERANTIPOISON1	185	cache-item-family.superantipoison.185
net.runelite.api.ItemID	WEAPON_POISON	187	cache-item-family.weapon_poison.187
net.runelite.api.ItemID	ZAMORAK_BREW1	193	cache-item-family.zamorak_brew.193
net.runelite.api.ItemID	POISON_CHALICE	197	cache-item-family.poison_chalice.197
net.runelite.api.ItemID	GRIMY_GUAM_LEAF	199	cache-item-family.grimy_guam_leaf.199
net.runelite.api.ItemID	GRIMY_MARRENTILL	201	cache-item-family.grimy_marrentill.201
net.runelite.api.ItemID	GRIMY_TARROMIN	203	cache-item-family.grimy_tarromin.203
net.runelite.api.ItemID	GRIMY_HARRALANDER	205	cache-item-family.grimy_harralander.205
net.runelite.api.ItemID	GRIMY_RANARR_WEED	207	cache-item-family.grimy_ranarr_weed.207
net.runelite.api.ItemID	GRIMY_IRIT_LEAF	209	cache-item-family.grimy_irit_leaf.209
net.runelite.api.ItemID	GRIMY_AVANTOE	211	cache-item-family.grimy_avantoe.211
net.runelite.api.ItemID	GRIMY_KWUARM	213	cache-item-family.grimy_kwuarm.213
net.runelite.api.ItemID	GRIMY_CADANTINE	215	cache-item-family.grimy_cadantine.215
net.runelite.api.ItemID	GRIMY_DWARF_WEED	217	cache-item-family.grimy_dwarf_weed.217
net.runelite.api.ItemID	GRIMY_TORSTOL	219	cache-item-family.grimy_torstol.219
net.runelite.api.ItemID	EYE_OF_NEWT	221	cache-item-family.eye_of_newt.221
net.runelite.api.ItemID	RED_SPIDERS_EGGS	223	cache-item-family.red_spiders_eggs.223
net.runelite.api.ItemID	LIMPWURT_ROOT	225	cache-item-family.limpwurt_root.225
net.runelite.api.ItemID	VIAL_OF_WATER	227	cache-item-family.vial_of_water.227
net.runelite.api.ItemID	VIAL	229	cache-item-family.vial.229
net.runelite.api.ItemID	SNAPE_GRASS	231	cache-item-family.snape_grass.231
net.runelite.api.ItemID	PESTLE_AND_MORTAR	233	cache-item-family.pestle_and_mortar.233
net.runelite.api.ItemID	UNICORN_HORN_DUST	235	cache-item-family.unicorn_horn_dust.235
net.runelite.api.ItemID	UNICORN_HORN	237	cache-item-family.unicorn_horn.237
net.runelite.api.ItemID	WHITE_BERRIES	239	cache-item-family.white_berries.239
net.runelite.api.ItemID	DRAGON_SCALE_DUST	241	cache-item-family.dragon_scale_dust.241
net.runelite.api.ItemID	BLUE_DRAGON_SCALE	243	cache-item-family.blue_dragon_scale.243
net.runelite.api.ItemID	WINE_OF_ZAMORAK	245	cache-item-family.wine_of_zamorak.245
